name,abs_start,abs_end
model.layers.6.post_attention_layernorm.weight,1614793,1625033
model.layers.6.self_attn.attn_sub_norm.weight,1625033,1635273
model.layers.6.self_attn.k_proj.weight_scale,1635273,1635277
model.layers.6.self_attn.o_proj.weight_scale,1635277,1635281
model.layers.6.self_attn.q_proj.weight_scale,1635281,1635285
model.layers.6.self_attn.v_proj.weight_scale,1635285,1635289
model.layers.7.input_layernorm.weight,1635289,1645529
model.layers.7.mlp.down_proj.weight_scale,1645529,1645533
model.layers.7.mlp.ffn_sub_norm.weight,1645533,1673181
model.layers.7.mlp.gate_proj.weight_scale,1673181,1673185
model.layers.7.mlp.up_proj.weight_scale,1673185,1673189
model.layers.7.post_attention_layernorm.weight,1673189,1683429
model.layers.7.self_attn.attn_sub_norm.weight,1683429,1693669
model.layers.7.self_attn.k_proj.weight_scale,1693669,1693673
model.layers.7.self_attn.o_proj.weight_scale,1693673,1693677
model.layers.7.self_attn.q_proj.weight_scale,1693677,1693681
model.layers.7.self_attn.v_proj.weight_scale,1693681,1693685
model.layers.8.input_layernorm.weight,1693685,1703925
model.layers.8.mlp.down_proj.weight_scale,1703925,1703929
model.layers.8.mlp.ffn_sub_norm.weight,1703929,1731577
model.layers.8.mlp.gate_proj.weight_scale,1731577,1731581
model.layers.8.mlp.up_proj.weight_scale,1731581,1731585
model.layers.8.post_attention_layernorm.weight,1731585,1741825
model.layers.8.self_attn.attn_sub_norm.weight,1741825,1752065
model.layers.8.self_attn.k_proj.weight_scale,1752065,1752069
model.layers.8.self_attn.o_proj.weight_scale,1752069,1752073
model.layers.8.self_attn.q_proj.weight_scale,1752073,1752077
model.layers.8.self_attn.v_proj.weight_scale,1752077,1752081
model.layers.9.input_layernorm.weight,1752081,1762321
model.layers.9.mlp.down_proj.weight_scale,1762321,1762325
model.layers.9.mlp.ffn_sub_norm.weight,1762325,1789973
model.layers.9.mlp.gate_proj.weight_scale,1789973,1789977
model.layers.9.mlp.up_proj.weight_scale,1789977,1789981
model.layers.9.post_attention_layernorm.weight,1789981,1800221
model.layers.9.self_attn.attn_sub_norm.weight,1800221,1810461
model.layers.9.self_attn.k_proj.weight_scale,1810461,1810465
model.layers.9.self_attn.o_proj.weight_scale,1810465,1810469
model.layers.9.self_attn.q_proj.weight_scale,1810469,1810473
model.layers.9.self_attn.v_proj.weight_scale,1810473,1810477
model.norm.weight,1810477,1820717
