[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
  [val] step 1500 | val_ppl 19.400 (prev 30.104)
step  1500/122071 | loss 2.6211 | lr 7.50e-04 | wd 0.100 | gnorm 1.48 | 2877.0s
step  1510/122071 | loss 2.6925 | lr 7.55e-04 | wd 0.100 | gnorm 1.49 | 2896.4s
step  1520/122071 | loss 2.5899 | lr 7.60e-04 | wd 0.100 | gnorm 1.31 | 2915.6s
step  1530/122071 | loss 2.8143 | lr 7.65e-04 | wd 0.100 | gnorm 1.31 | 2935.0s
step  1540/122071 | loss 2.9052 | lr 7.70e-04 | wd 0.100 | gnorm 1.45 | 2954.1s
step  1550/122071 | loss 2.5914 | lr 7.75e-04 | wd 0.100 | gnorm 1.20 | 2973.1s
step  1560/122071 | loss 2.5814 | lr 7.80e-04 | wd 0.100 | gnorm 1.35 | 2992.7s
step  1570/122071 | loss 2.4961 | lr 7.85e-04 | wd 0.100 | gnorm 1.41 | 3012.0s
step  1580/122071 | loss 2.6615 | lr 7.90e-04 | wd 0.100 | gnorm 1.15 | 3030.7s
step  1590/122071 | loss 2.6042 | lr 7.95e-04 | wd 0.100 | gnorm 1.21 | 3049.9s
step  1600/122071 | loss 2.5663 | lr 8.00e-04 | wd 0.100 | gnorm 1.36 | 3069.0s
step  1610/122071 | loss 2.6097 | lr 8.05e-04 | wd 0.100 | gnorm 1.20 | 3088.2s
step  1620/122071 | loss 2.6171 | lr 8.10e-04 | wd 0.100 | gnorm 1.20 | 3107.2s
step  1630/122071 | loss 2.8069 | lr 8.15e-04 | wd 0.100 | gnorm 1.26 | 3126.4s
step  1640/122071 | loss 2.6504 | lr 8.20e-04 | wd 0.100 | gnorm 1.20 | 3146.4s
step  1650/122071 | loss 2.7796 | lr 8.25e-04 | wd 0.100 | gnorm 1.32 | 3166.0s
step  1660/122071 | loss 2.7230 | lr 8.30e-04 | wd 0.100 | gnorm 1.26 | 3186.3s
step  1670/122071 | loss 2.5699 | lr 8.35e-04 | wd 0.100 | gnorm 1.30 | 3205.4s
step  1680/122071 | loss 2.6150 | lr 8.40e-04 | wd 0.100 | gnorm 1.27 | 3225.2s
step  1690/122071 | loss 2.5012 | lr 8.45e-04 | wd 0.100 | gnorm 1.21 | 3244.4s
step  1700/122071 | loss 2.6129 | lr 8.50e-04 | wd 0.100 | gnorm 1.18 | 3264.0s
step  1710/122071 | loss 2.7743 | lr 8.55e-04 | wd 0.100 | gnorm 1.11 | 3282.5s
step  1720/122071 | loss 2.5860 | lr 8.60e-04 | wd 0.100 | gnorm 1.19 | 3301.5s
step  1730/122071 | loss 2.5201 | lr 8.65e-04 | wd 0.100 | gnorm 1.20 | 3320.5s
step  1740/122071 | loss 2.4448 | lr 8.70e-04 | wd 0.100 | gnorm 1.16 | 3339.6s
step  1750/122071 | loss 2.6751 | lr 8.75e-04 | wd 0.100 | gnorm 1.25 | 3358.7s
step  1760/122071 | loss 2.5538 | lr 8.80e-04 | wd 0.100 | gnorm 1.10 | 3377.4s
step  1770/122071 | loss 2.4058 | lr 8.85e-04 | wd 0.100 | gnorm 1.32 | 3396.7s
step  1780/122071 | loss 2.5708 | lr 8.90e-04 | wd 0.100 | gnorm 1.12 | 3415.8s
step  1790/122071 | loss 2.5484 | lr 8.95e-04 | wd 0.100 | gnorm 1.17 | 3434.8s
step  1800/122071 | loss 2.5414 | lr 9.00e-04 | wd 0.100 | gnorm 1.26 | 3453.9s
step  1810/122071 | loss 2.6748 | lr 9.05e-04 | wd 0.100 | gnorm 1.23 | 3473.0s
step  1820/122071 | loss 2.5613 | lr 9.10e-04 | wd 0.100 | gnorm 1.15 | 3491.9s
step  1830/122071 | loss 2.2686 | lr 9.15e-04 | wd 0.100 | gnorm 1.15 | 3510.6s
step  1840/122071 | loss 2.5366 | lr 9.20e-04 | wd 0.100 | gnorm 1.27 | 3529.8s
