[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
cool  1460/4000 | loss 1.3609 | lr 7.058e-05 | wd 0.000 | gnorm 2.13 | 3616.5s
cool  1470/4000 | loss 1.3585 | lr 7.022e-05 | wd 0.000 | gnorm 2.16 | 3642.1s
cool  1480/4000 | loss 1.4836 | lr 6.986e-05 | wd 0.000 | gnorm 2.11 | 3665.9s
cool  1490/4000 | loss 1.3165 | lr 6.950e-05 | wd 0.000 | gnorm 2.06 | 3689.9s
  [val] cool 1500 | val_ppl 5.3198 | baseline 5.5558 | delta -0.2361
cool  1500/4000 | loss 1.3927 | lr 6.913e-05 | wd 0.000 | gnorm 2.08 | 3715.1s
cool  1510/4000 | loss 1.7250 | lr 6.877e-05 | wd 0.000 | gnorm 2.32 | 3738.5s
cool  1520/4000 | loss 1.4231 | lr 6.841e-05 | wd 0.000 | gnorm 2.08 | 3761.5s
cool  1530/4000 | loss 1.3956 | lr 6.804e-05 | wd 0.000 | gnorm 2.09 | 3785.1s
cool  1540/4000 | loss 1.2838 | lr 6.767e-05 | wd 0.000 | gnorm 1.94 | 3808.3s
cool  1550/4000 | loss 1.4561 | lr 6.731e-05 | wd 0.000 | gnorm 2.30 | 3831.4s
cool  1560/4000 | loss 1.6196 | lr 6.694e-05 | wd 0.000 | gnorm 2.27 | 3854.8s
cool  1570/4000 | loss 1.5138 | lr 6.657e-05 | wd 0.000 | gnorm 2.18 | 3879.1s
cool  1580/4000 | loss 1.4848 | lr 6.620e-05 | wd 0.000 | gnorm 2.19 | 3902.1s
cool  1590/4000 | loss 1.4450 | lr 6.582e-05 | wd 0.000 | gnorm 2.13 | 3924.5s
cool  1600/4000 | loss 1.6459 | lr 6.545e-05 | wd 0.000 | gnorm 2.41 | 3947.4s
cool  1610/4000 | loss 1.3944 | lr 6.508e-05 | wd 0.000 | gnorm 2.27 | 3970.4s
cool  1620/4000 | loss 1.4334 | lr 6.470e-05 | wd 0.000 | gnorm 2.14 | 3993.5s
cool  1630/4000 | loss 1.5202 | lr 6.433e-05 | wd 0.000 | gnorm 2.14 | 4016.7s
cool  1640/4000 | loss 1.2861 | lr 6.395e-05 | wd 0.000 | gnorm 2.31 | 4039.8s
cool  1650/4000 | loss 1.2891 | lr 6.357e-05 | wd 0.000 | gnorm 2.13 | 4062.5s
cool  1660/4000 | loss 1.4552 | lr 6.319e-05 | wd 0.000 | gnorm 2.08 | 4084.5s
cool  1670/4000 | loss 1.5483 | lr 6.281e-05 | wd 0.000 | gnorm 2.25 | 4106.7s
cool  1680/4000 | loss 1.4701 | lr 6.243e-05 | wd 0.000 | gnorm 2.16 | 4129.4s
cool  1690/4000 | loss 1.6243 | lr 6.205e-05 | wd 0.000 | gnorm 2.14 | 4151.0s
cool  1700/4000 | loss 1.6564 | lr 6.167e-05 | wd 0.000 | gnorm 2.37 | 4173.5s
cool  1710/4000 | loss 1.3708 | lr 6.129e-05 | wd 0.000 | gnorm 2.05 | 4196.8s
cool  1720/4000 | loss 1.6056 | lr 6.091e-05 | wd 0.000 | gnorm 2.27 | 4220.2s
cool  1730/4000 | loss 1.5726 | lr 6.052e-05 | wd 0.000 | gnorm 2.17 | 4243.7s
cool  1740/4000 | loss 1.3366 | lr 6.014e-05 | wd 0.000 | gnorm 2.11 | 4266.7s
