[train] model params: 14171392 (14.17M) | linear=bitlinear | sched=two_stage | B=8 T=512 threads=4
step  2240/122071 | loss 2.3812 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 9048.4s
step  2250/122071 | loss 2.3614 | lr 2.00e-03 | wd 0.100 | gnorm 0.62 | 9087.9s
step  2260/122071 | loss 2.4102 | lr 2.00e-03 | wd 0.100 | gnorm 0.70 | 9128.1s
step  2270/122071 | loss 2.5200 | lr 2.00e-03 | wd 0.100 | gnorm 0.70 | 9167.7s
step  2280/122071 | loss 2.1969 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 9207.0s
step  2290/122071 | loss 2.1815 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 9247.0s
step  2300/122071 | loss 2.4081 | lr 2.00e-03 | wd 0.100 | gnorm 0.61 | 9287.7s
step  2310/122071 | loss 2.2037 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 9327.3s
step  2320/122071 | loss 2.4493 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 9367.2s
step  2330/122071 | loss 2.2544 | lr 2.00e-03 | wd 0.100 | gnorm 0.71 | 9407.5s
step  2340/122071 | loss 2.2450 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 9447.0s
step  2350/122071 | loss 2.2536 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 9487.4s
step  2360/122071 | loss 2.5164 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 9527.6s
step  2370/122071 | loss 2.4932 | lr 2.00e-03 | wd 0.100 | gnorm 0.64 | 9568.1s
step  2380/122071 | loss 2.2982 | lr 2.00e-03 | wd 0.100 | gnorm 0.64 | 9608.3s
step  2390/122071 | loss 2.2799 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 9648.7s
step  2400/122071 | loss 2.3763 | lr 2.00e-03 | wd 0.100 | gnorm 0.62 | 9688.7s
step  2410/122071 | loss 2.4450 | lr 2.00e-03 | wd 0.100 | gnorm 0.62 | 9728.3s
step  2420/122071 | loss 2.4012 | lr 2.00e-03 | wd 0.100 | gnorm 0.62 | 9768.1s
step  2430/122071 | loss 2.0422 | lr 2.00e-03 | wd 0.100 | gnorm 0.64 | 9807.1s
step  2440/122071 | loss 2.2681 | lr 2.00e-03 | wd 0.100 | gnorm 0.65 | 9846.9s
step  2450/122071 | loss 2.3569 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 9887.7s
step  2460/122071 | loss 2.2687 | lr 2.00e-03 | wd 0.100 | gnorm 0.62 | 9928.7s
step  2470/122071 | loss 2.1972 | lr 2.00e-03 | wd 0.100 | gnorm 0.60 | 9969.0s
step  2480/122071 | loss 2.2162 | lr 2.00e-03 | wd 0.100 | gnorm 0.61 | 10009.2s
step  2490/122071 | loss 2.3916 | lr 2.00e-03 | wd 0.100 | gnorm 0.65 | 10049.4s
  [val] step 2500 | val_ppl 15.696 (prev 17.298)
step  2500/122071 | loss 2.4184 | lr 2.00e-03 | wd 0.100 | gnorm 0.67 | 10089.4s
step  2510/122071 | loss 2.3226 | lr 2.00e-03 | wd 0.100 | gnorm 0.60 | 10129.4s
step  2520/122071 | loss 2.5615 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 10169.8s
step  2530/122071 | loss 2.3853 | lr 2.00e-03 | wd 0.100 | gnorm 0.59 | 10209.8s
