=== WikiText-2 FULL test-set PPL — post-tokenizer-fix re-run (ATTEMPT 2) ===
date: 2026-07-18T01:13:34Z
binary: aegis-eval/target/release/aegis-eval (built 2026-07-16 22:57, commit 5989c32)
cmd: aegis-eval aegis_pruned_model.safetensors aegis-forge/embed.bin aegis-forge/vocab.bin test.txt (flagless = chunked full-text)
attempt 1 died at session-close 2026-07-16 23:47 (2% done; log: *_attempt1_DIED_session-close.log); this attempt runs under systemd-run --user + linger
prior full-set anchor: 15.825 (old tokenizer); sample anchors: old 10.348 / new 10.758
---
==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 900000/1254250 chars | chunk: 1273 tok (3.9 c/t) PPL 15.647 | overall: 223874 tok PPL 16.245
Progress: 905000/1254250 chars | chunk: 1339 tok (3.7 c/t) PPL 14.221 | overall: 225212 tok PPL 16.232
Progress: 910000/1254250 chars | chunk: 1330 tok (3.8 c/t) PPL 18.892 | overall: 226541 tok PPL 16.246
Progress: 915000/1254250 chars | chunk: 1229 tok (4.1 c/t) PPL 14.220 | overall: 227769 tok PPL 16.235
Progress: 920000/1254250 chars | chunk: 1231 tok (4.1 c/t) PPL 21.016 | overall: 228999 tok PPL 16.257
Progress: 925000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 17.170 | overall: 230211 tok PPL 16.262
Progress: 930000/1254250 chars | chunk: 1283 tok (3.9 c/t) PPL 16.258 | overall: 231493 tok PPL 16.262
Progress: 935000/1254250 chars | chunk: 1194 tok (4.2 c/t) PPL 16.656 | overall: 232686 tok PPL 16.264
Progress: 940000/1254250 chars | chunk: 1082 tok (4.6 c/t) PPL 17.406 | overall: 233767 tok PPL 16.269
Progress: 945000/1254250 chars | chunk: 1244 tok (4.0 c/t) PPL 13.774 | overall: 235010 tok PPL 16.255
Progress: 950000/1254250 chars | chunk: 1242 tok (4.0 c/t) PPL 14.144 | overall: 236251 tok PPL 16.243
Progress: 955000/1254250 chars | chunk: 1180 tok (4.2 c/t) PPL 14.892 | overall: 237430 tok PPL 16.236
Progress: 960000/1254250 chars | chunk: 1205 tok (4.1 c/t) PPL 13.794 | overall: 238634 tok PPL 16.222
Progress: 965000/1254250 chars | chunk: 1218 tok (4.1 c/t) PPL 12.804 | overall: 239851 tok PPL 16.203
Progress: 970000/1254250 chars | chunk: 1189 tok (4.2 c/t) PPL 16.460 | overall: 241039 tok PPL 16.204
Progress: 975000/1254250 chars | chunk: 1323 tok (3.8 c/t) PPL 10.004 | overall: 242361 tok PPL 16.162
Progress: 980000/1254250 chars | chunk: 1326 tok (3.8 c/t) PPL 14.061 | overall: 243686 tok PPL 16.149
Progress: 985000/1254250 chars | chunk: 1225 tok (4.1 c/t) PPL 23.088 | overall: 244910 tok PPL 16.178
Progress: 990000/1254250 chars | chunk: 1201 tok (4.2 c/t) PPL 14.886 | overall: 246110 tok PPL 16.172
Progress: 995000/1254250 chars | chunk: 1171 tok (4.3 c/t) PPL 20.191 | overall: 247280 tok PPL 16.189
Progress: 1000000/1254250 chars | chunk: 1179 tok (4.2 c/t) PPL 19.922 | overall: 248458 tok PPL 16.205
Progress: 1005000/1254250 chars | chunk: 1140 tok (4.4 c/t) PPL 22.307 | overall: 249597 tok PPL 16.228
Progress: 1010000/1254250 chars | chunk: 1166 tok (4.3 c/t) PPL 19.450 | overall: 250762 tok PPL 16.242
Progress: 1015000/1254250 chars | chunk: 1145 tok (4.4 c/t) PPL 17.506 | overall: 251906 tok PPL 16.247
